road_id,order,lat,lon
br-376,199,-25.964587906439345,-48.89749585114503
br-376,200,-25.96477193690447,-48.89740678680852
br-376,201,-25.964951627618674,-48.89730933524401
br-376,202,-25.965128780152423,-48.89720731466
br-376,203,-25.9653019496855,-48.89709859014046
br-376,204,-25.965469904403818,-48.89698206289271
br-376,205,-25.965633490143414,-48.89685952788526
br-376,206,-25.96579264750693,-48.896731179249066
br-376,207,-25.96594840322249,-48.896598707118386
br-376,208,-25.966104167885618,-48.896466245513714
br-376,209,-25.966259995590406,-48.89633385807188
br-376,210,-25.96641582329519,-48.89620147063003
br-376,211,-25.966571650999978,-48.89606908318819
br-376,212,-25.96672747870476,-48.89593669574635
br-376,213,-25.96688330640955,-48.895804308304506
br-376,214,-25.967039134114334,-48.89567192086266
br-376,215,-25.96719496181912,-48.895539533420816
br-376,216,-25.967350812524312,-48.89540717320469
br-376,217,-25.967507373245393,-48.8952756534383
br-376,218,-25.967663933966474,-48.895144133671906
br-376,219,-25.967820229722584,-48.89501230068442
br-376,220,-25.967975882611505,-48.89487970774906
br-376,221,-25.968131535500426,-48.894747114813704
br-376,222,-25.968287188389347,-48.894614521878346
br-376,223,-25.968442841278268,-48.89448192894299
br-376,224,-25.968598494167185,-48.89434933600763
br-376,225,-25.968754147056107,-48.89421674307226
br-376,226,-25.968909799945028,-48.894084150136905
br-376,227,-25.96906545283395,-48.89395155720155
br-376,228,-25.96922110572287,-48.89381896426619
br-376,229,-25.96937675861179,-48.89368637133083
br-376,230,-25.969532411500712,-48.89355377839547
br-376,231,-25.969688064389633,-48.89342118546011
br-376,232,-25.969843717278554,-48.893288592524755
br-376,233,-25.969999860241913,-48.893156580558994
br-376,234,-25.970156787246236,-48.893025498051955
br-376,235,-25.970313714250555,-48.892894415544916
br-376,236,-25.970470610179156,-48.89276329586318
br-376,237,-25.97062744011944,-48.89263209724212
br-376,238,-25.97078427005972,-48.892500898621066
br-376,239,-25.9709411,-48.8923697
br-376,240,-25.9326674,-48.9102759
br-376,241,-25.93242638190806,-48.91036718110572
br-376,242,-25.932187460112853,-48.91046361487457
br-376,243,-25.93195761903273,-48.910580020059975
br-376,244,-25.9317299,-48.9107007
br-376,245,-25.971748,-48.8915242
br-376,246,-25.971545500061755,-48.891692463292614
br-376,247,-25.97134340004117,-48.89186120886175
br-376,248,-25.971141300020584,-48.892029954430875
br-376,249,-25.9709392,-48.8921987
br-376,250,-25.931519,-48.9108097
br-376,251,-25.931335226981016,-48.91090000853773
br-376,252,-25.93115145396203,-48.910990317075466
br-376,253,-25.93096768094304,-48.911080625613195
br-376,254,-25.930783907924056,-48.911170934150924
br-376,255,-25.93060013490507,-48.91126124268866
br-376,256,-25.930416361886085,-48.91135155122639
br-376,257,-25.9302325888671,-48.91144185976412
br-376,258,-25.930048554205943,-48.91153162424374
br-376,259,-25.92986327314084,-48.911618796953974
br-376,260,-25.929674082943457,-48.911697052291835
br-376,261,-25.929481856604696,-48.9117674429032
br-376,262,-25.92928828174924,-48.91183414705576
br-376,263,-25.92909200334724,-48.911892481808714
br-376,264,-25.928893654174402,-48.911943132973384
br-376,265,-25.928693855489517,-48.91198750885644
br-376,266,-25.928491731186202,-48.912019969409975
br-376,267,-25.928288223911427,-48.912042617668355
br-376,268,-25.928084253426167,-48.91206058928987
br-376,269,-25.927880257427525,-48.91207830332476
br-376,270,-25.92767626142888,-48.912096017359644
br-376,271,-25.927472265430236,-48.912113731394534
br-376,272,-25.927268269431593,-48.91213144542942
br-376,273,-25.92706427764919,-48.91214920758021
br-376,274,-25.926860309733886,-48.91216724210323
br-376,275,-25.926657917585857,-48.91219822821077
br-376,276,-25.926458344711126,-48.91224390290074
br-376,277,-25.926265044920353,-48.91231138607913
