geometry,road_id
POINT (-47.8617359 -22.0359229),sao_carlos
POINT (-47.8605418 -22.0368856),sao_carlos
POINT (-47.8604655 -22.0369667),sao_carlos
POINT (-47.8603639 -22.0370204),sao_carlos
POINT (-47.8602363 -22.037041),sao_carlos
POINT (-47.8601218 -22.0370185),sao_carlos
POINT (-47.8600221 -22.0369508),sao_carlos
POINT (-47.8599535 -22.0368756),sao_carlos
POINT (-47.8599244 -22.0367922),sao_carlos
POINT (-47.8600603 -22.0370505),sao_carlos
POINT (-47.8599967 -22.0370867),sao_carlos
POINT (-47.8618928 -22.0361971),sao_carlos
POINT (-47.8618172 -22.036119),sao_carlos
POINT (-47.861776 -22.0360393),sao_carlos
POINT (-47.861803 -22.0361884),sao_carlos
POINT (-47.8617122 -22.0361811),sao_carlos
POINT (-47.8616288 -22.0361894),sao_carlos
POINT (-47.8615565 -22.0362043),sao_carlos
POINT (-47.8614549 -22.0362464),sao_carlos
POINT (-47.8612448 -22.0363334),sao_carlos
POINT (-47.8607489 -22.0365479),sao_carlos
POINT (-47.8607073 -22.0365945),sao_carlos
POINT (-47.8606746 -22.036628),sao_carlos
POINT (-47.8606331 -22.036677),sao_carlos
POINT (-47.8606088 -22.0367284),sao_carlos
POINT (-47.861761 -22.035841),sao_carlos
POINT (-47.8618255 -22.0357455),sao_carlos
POINT (-47.8619214 -22.0356762),sao_carlos
POINT (-47.8620372 -22.0356418),sao_carlos
POINT (-47.8621515 -22.035628),sao_carlos
POINT (-47.8622848 -22.0356817),sao_carlos
POINT (-47.862359 -22.0357929),sao_carlos
POINT (-47.8624008 -22.0358884),sao_carlos
POINT (-47.8624078 -22.0359985),sao_carlos
POINT (-47.8623844 -22.0360792),sao_carlos
POINT (-47.8623224 -22.0361668),sao_carlos
POINT (-47.8627405 -22.0357741),sao_carlos
POINT (-47.8630489 -22.0357815),sao_carlos
POINT (-47.8632515 -22.0357628),sao_carlos
POINT (-47.8651389 -22.03548),sao_carlos
POINT (-47.8622887 -22.0361968),sao_carlos
POINT (-47.8621072 -22.0362486),sao_carlos
